Week_of,new_sample_id,sample_id,sample_barcode,batch,trytofind_B18,sample_code,date_sampling,days_in_transit_storage,replicate,date_extract,conc_ext_by,aliquot_weight_unfrozen_g,elution_vol_ul,weight_vol_extracted_ml,effective_vol_extracted_ml,bCoV_spike_vol_ul,GFP_spike_vol_ul,RNA_qubit_HS_template_ul,RNA_ng_ul_qubit_HS,DNA_ng_ul_qubit_HS,DNA_qubit_HS_template_ul,DNA_ng_ul_qubit_all,RNA_ng_ul_qubit_all
,C_C_S68_042120_1,C_S68_042120_1,,B04,,C_C_S68,4/21/20,134,1,9/2/20,Adrian,63.09,200,39.605,40,50,20,,,,,,
,C_C_N49_042820_1,C_N49_042820_1,,B11,,C_C_N49,4/28/20,142,1,9/17/20,Adrian,63.1,200,39.615,40,50,20,,,,,,
,C_C_S68_062320_3,C_S68_062320_3,,B06,,C_C_S68,6/23/20,72,3,9/3/20,Adrian,63.11,200,39.625,40,50,20,,,,,,
,C_C_S68_071420_3,C_S68_071420_3,,B05,,C_C_S68,7/14/20,51,3,9/3/20,Adrian,63.11,200,39.625,40,50,20,,,,,,
,C_C_S68_080420_2,C_S68_080420_2,,B06,,C_C_S68,8/4/20,30,2,9/3/20,Adrian,63.17,200,39.685,40,50,20,,,,,,
,C_C_S68_063020_1,C_S68_063020_1,,B04,,C_C_S68,6/30/20,64,1,9/2/20,Adrian,63.18,200,39.695,40,50,20,,,,,,
,C_C_N49_071420_1,C_N49_071420_1,,B09,,C_C_N49,7/14/20,56,1,9/8/20,Adrian,63.2,200,39.715,40,50,20,1,142,4,16,16,142
,B_B_SQ_080420_4,B_SQ_080420_4,,B07,,B_B_SQ,8/4/20,34,4,9/7/20,Adrian,63.2,200,39.715,40,50,20,,,,,,
,C_C_N49_061620_1,C_N49_061620_1,,B09,,C_C_N49,6/16/20,84,1,9/8/20,Adrian,63.2,200,39.715,40,50,20,,,,,,
,C_C_N49_063020_3,C_N49_063020_3,,B11,,C_C_N49,6/30/20,79,3,9/17/20,Adrian,63.2,200,39.715,40,50,20,,,,,,
,C_C_N49_070720_3,C_N49_070720_3,,B11,,C_C_N49,7/7/20,72,3,9/17/20,Adrian,63.2,200,39.715,40,50,20,,,,,,
,C_C_N49_071420_3,C_N49_071420_3,,B11,,C_C_N49,7/14/20,65,3,9/17/20,Adrian,63.2,200,39.715,40,50,20,,,,,,
,K_K_INF_072420_1,K_K_INF_072420_1,,B16,,K_K_INF,7/24/20,2,1,10/29/20,Adrian,63.2,200,39.715,40,50,20,,,,,,
,C_C_S68_062320_2,C_S68_062320_2,,B05,,C_C_S68,6/23/20,72,2,9/3/20,Adrian,63.28,200,39.795,40,50,20,,,,,,
,C_C_N49_063020_2,C_N49_063020_2,,B10,,C_C_N49,6/30/20,71,2,9/9/20,Adrian,63.28,200,39.795,40,50,20,,,,,,
,C_C_N49_070720_1,C_N49_070720_1,,B09,,C_C_N49,7/7/20,63,1,9/8/20,Adrian,63.3,200,39.815,40,50,20,,,,,,
,K_K_INF_062620_2,K_K_INF_062620_2,,B16,,K_K_INF,6/26/20,2,2,10/29/20,Adrian,63.3,200,39.815,40,50,20,,,,,,
,K_K_INF_082820_1,K_K_INF_082820_1,,B16,,K_K_INF,8/28/20,2,1,10/29/20,Adrian,63.3,200,39.815,40,50,20,,,,,,
,K_K_INF_061220_3,K_K_INF_061220_3,,B17,,K_K_INF,6/12/20,2,3,10/29/20,Adrian,63.3,200,39.815,40,50,20,1,178,3,16.3,16.3,178
,K_K_INF_082820_3,K_K_INF_082820_3,,B17,,K_K_INF,8/28/20,2,3,10/29/20,Adrian,63.3,200,39.815,40,50,20,1,172,3,15.6,15.6,172
,C_C_S68_072820_4,C_S68_072820_4,,B04,,C_C_S68,7/28/20,36,4,9/2/20,Adrian,63.34,200,39.855,40,50,20,,,,,,
,C_C_ADA_061620_4,C_ADA_061620_4,,B14,,C_C_ADA,6/16/20,118,4,10/12/20,Adrian,63.4,200,39.915,40,50,20,1,188,4,13.5,13.5,188
,C_C_ADA_061620_3,C_ADA_061620_3,,B14,,C_C_ADA,6/16/20,118,3,10/12/20,Adrian,63.4,200,39.915,40,50,20,,,,,,
,C_C_N49_051220_3,C_N49_051220_3,,B11,,C_C_N49,5/12/20,128,3,9/17/20,Adrian,63.4,200,39.915,40,50,20,,,,,,
,C_C_N49_060920_3,C_N49_060920_3,,B11,,C_C_N49,6/9/20,100,3,9/17/20,Adrian,63.4,200,39.915,40,50,20,,,,,,
,C_C_N49_072120_1,C_N49_072120_1,,B11,,C_C_N49,7/21/20,58,1,9/17/20,Adrian,63.4,200,39.915,40,50,20,,,,,,
,B_B_SQ_081120_4,B_SQ_081120_4,,B07,,B_B_SQ,8/11/20,27,4,9/7/20,Adrian,63.4,200,39.915,40,50,20,0.5,198,3,13.7,13.7,198
