Week_of,new_sample_id,sample_id,sample_barcode,batch,trytofind_B18,sample_code,date_sampling,days_in_transit_storage,replicate,date_extract,conc_ext_by,aliquot_weight_unfrozen_g,elution_vol_ul,weight_vol_extracted_ml,effective_vol_extracted_ml,bCoV_spike_vol_ul,GFP_spike_vol_ul,RNA_qubit_HS_template_ul,RNA_ng_ul_qubit_HS,DNA_ng_ul_qubit_HS,DNA_qubit_HS_template_ul,DNA_ng_ul_qubit_all,RNA_ng_ul_qubit_all
,K_K_INF_080720_3,K_K_INF_080720_3,,B17,,K_K_INF,8/7/20,2,3,10/29/20,Adrian,64.7,200,41.215,40,50,20,,,,,,
,C_C_S68_052720_3,C_S68_052720_3,,B06,,C_C_S68,5/27/20,99,3,9/3/20,Adrian,64.71,200,41.225,40,50,20,,,,,,
,control_control_PBS_090320_1,control_PBS_B6_1,,B06,,control_control_PBS,9/3/20,0,1,9/3/20,Adrian,64.81,200,41.325,40,50,20,,,,,,
,control_control_PBS_102920_1A,control_PBS_B16_1,,B16,,control_control_PBS,10/29/20,NA,1A,10/29/20,Adrian,64.9,200,41.415,40,50,20,,,,,,
1-Sep,C_C_N49_090120_3,C_N49_090120_3,,B10,,C_C_N49,9/1/20,8,3,9/9/20,Adrian,64.91,200,41.425,40,50,20,,,,,,
,C_C_S68_070720_2,C_S68_070720_2,,B05,,C_C_S68,7/7/20,58,2,9/3/20,Adrian,64.92,200,41.435,40,50,20,,,,,,
,control_control_PBS_110420_1,control_pbs_110420_B18,,B18,B18,control_control_PBS,11/4/20,,1,11/4/20,Adrian,65,200,41.515,50,20,40,,,,,,
,control_control_PBS_102920_1B,control_PBS_B17,,B17,,control_control_PBS,10/29/20,NA,1B,10/29/20,Adrian,65,200,41.515,40,50,20,3,<1.7,,,,<5
,C_C_S68_063020_6,C_S68_063020_6,,B04,,C_C_S68,6/30/20,64,6,9/2/20,Adrian,65.11,200,41.625,40,50,20,,,,,,
,C_C_S68_072120_2,C_S68_072120_2,,B05,,C_C_S68,7/21/20,44,2,9/3/20,Adrian,65.16,200,41.675,40,50,20,,,,,,
,C_C_ADA_063020_2,C_ADA_063020_2,,B15,,C_C_ADA,6/30/20,107,2,10/15/20,Adrian,65.3,200,41.815,40,50,20,,,,,,
,control_control_PBS_100620_1,control_PBS_B13_1,,B13,,control_control_PBS,10/6/20,0,1,10/6/20,Adrian,65.4,200,41.915,40,50,20,,,,,,
,C_C_ADA_080420_3,C_ADA_080420_3,,B15,,C_C_ADA,8/4/20,72,3,10/15/20,Adrian,65.4,200,41.915,40,50,20,,,,,,
,control_control_PBS_091820_1,control_PBS_B12_1,,B12,,control_control_PBS,9/18/20,0,1,9/18/20,Adrian,65.6,200,42.115,40,50,20,,,,,,
,C_C_S68_072120_3,C_S68_072120_3,,B06,,C_C_S68,7/21/20,44,3,9/3/20,Adrian,65.76,200,42.275,40,50,20,,,,,,
17-Aug,C_C_S68_081820_4,C_S68_081820_4,,B04,,C_C_S68,8/18/20,15,4,9/2/20,Adrian,65.82,200,42.335,40,50,20,1,126,4,12.4,12.4,126
,C_C_S68_052720_2,C_S68_052720_2,,B05,,C_C_S68,5/27/20,99,2,9/3/20,Adrian,65.95,200,42.465,40,50,20,,,,,,
,control_control_PBS_090320_1,control_PBS_B5_1,,B05,,control_control_PBS,9/3/20,0,1,9/3/20,Adrian,66.05,200,42.565,40,50,20,,,,,,
,C_C_N49_051220_2,C_N49_051220_2,,B10,,C_C_N49,5/12/20,120,2,9/9/20,Adrian,66.2,200,42.715,40,50,20,,,,,,
,C_C_N49_071420_2,C_N49_071420_2,,B10,,C_C_N49,7/14/20,57,2,9/9/20,Adrian,66.22,200,42.735,40,50,20,,,,,,
,control_control_PBS_101520_1A,control_control_PBS_101520_1A,,B15,,control_control_PBS,10/15/20,,1A,10/15/20,Adrian,66.3,,42.815,,,,,,,,,
,C_C_N49_081120_4,C_N49_081120_4,,B09,,C_C_N49,8/11/20,28,4,9/8/20,Adrian,66.5,200,43.015,40,50,20,,,,,,
,C_C_S68_042120_2,C_S68_042120_2,,B05,,C_C_S68,4/21/20,135,2,9/3/20,Adrian,66.74,200,43.255,40,50,20,,,,,,
,C_C_S68_061620_2,C_S68_061620_2,,B05,,C_C_S68,6/16/20,79,2,9/3/20,Adrian,67.33,200,43.845,40,50,20,,,,,,
,C_C_S68_051920_2,C_S68_051920_2,,B05,,C_C_S68,5/19/20,107,2,9/3/20,Adrian,67.5,200,44.015,40,50,20,,,,,,
,C_C_N49_060220_3,C_N49_060220_3,,B11,,C_C_N49,6/2/20,107,3,9/17/20,Adrian,67.6,200,44.115,45,50,20,,,,,,
,C_C_N49_080420_4,C_N49_080420_4,,B18,tried to be B09,C_C_N49,8/4/20,92,4,11/4/20,Adrian,68,200,44.515,40,50,20,,,,,,
,C_C_ADA_060220_2,C_ADA_060220_2,,B15,,C_C_ADA,6/2/20,135,2,10/15/20,Adrian,68.1,200,44.615,45,50,20,,,,,,
,C_C_ADA_090120_4,C_ADA_090120_4,,B14,,C_C_ADA,9/1/20,41,4,10/12/20,Adrian,68.2,200,44.715,40,50,20,,,,,,
,C_C_S68_080420_4,C_S68_080420_4,,B04,,C_C_S68,8/4/20,29,4,9/2/20,Adrian,68.23,200,44.745,40,50,20,,,,,,
,C_C_S68_060220_1,C_S68_060220_1,,B04,,C_C_S68,6/2/20,92,1,9/2/20,Adrian,68.27,200,44.785,45,50,20,,,,,,
,C_C_S68_060220_3,C_S68_060220_3,,B06,,C_C_S68,6/2/20,93,3,9/3/20,Adrian,68.51,200,45.025,45,50,20,,,,,,
,C_C_ADA_060220_3,C_ADA_060220_3,,B14,,C_C_ADA,6/2/20,132,3,10/12/20,Adrian,68.6,200,45.115,45,50,20,,,,,,
,C_C_ADA_060220_4,C_ADA_060220_4,,B14,,C_C_ADA,6/2/20,132,4,10/12/20,Adrian,68.8,200,45.315,45,50,20,1,186,4,13.3,13.3,186
17-Aug,C_C_ADA_080420_4,C_ADA_080420_4,,B14,,C_C_ADA,8/4/20,69,4,10/12/20,Adrian,69,200,45.515,40,50,20,,,,,,
,C_C_N49_090120_4,C_N49_090120_4,,B09,,C_C_N49,9/1/20,7,4,9/8/20,Adrian,69,200,45.515,40,50,20,,,,,,
,C_C_N49_060220_1,C_N49_060220_1,,B09,,C_C_N49,6/2/20,98,1,9/8/20,Adrian,69.3,200,45.815,45,50,20,1,182,4,15.7,15.7,182
,E_E_INF_062820_3,E_Inf_062820_3,,B03,,E_E_INF,6/28/20,66,3,9/2/20,Adrian,70.01,200,46.525,40,50,20,1,33.8,3,5.49,5.49,33.8
,control_control_PBS_090220_1,control_PBS_B3_1,,B03,,control_control_PBS,9/2/20,0,1,9/2/20,Adrian,70.16,200,46.675,40,50,20,5,<1,10,<0.02,<0.05,<5
,E_E_INF_070720_3,E_Inf_070720_3,,B03,,E_E_INF,7/7/20,57,3,9/2/20,Adrian,70.81,200,47.325,40,50,20,,,,,,
,E_E_INF_060420_1,E_Inf_060420_1,,B01,,E_E_INF,6/4/20,88,1,8/31/20,Adrian,70.9,200,47.415,40,50,20,,,,,,
,E_E_INF_062120_2,E_Inf_062120_2,,B02,,E_E_INF,6/21/20,71,2,8/31/20,Adrian,71,200,47.515,40,50,20,,,,,,
,E_E_INF_060220_3,E_Inf_060220_3,,B03,,E_E_INF,6/2/20,92,3,9/2/20,Adrian,71.11,200,47.625,40,50,20,,,,,,
,E_E_INF_060420_2,E_Inf_060420_2,,B02,,E_E_INF,6/4/20,88,2,8/31/20,Adrian,71.3,200,47.815,40,50,20,,,,,,
,E_E_INF_060720_2,E_Inf_060720_2,,B02,,E_E_INF,6/7/20,85,2,8/31/20,Adrian,71.3,200,47.815,40,50,20,,,,,,
,E_E_INF_070520_1,E_Inf_070520_1,,B01,,E_E_INF,7/5/20,57,1,8/31/20,Adrian,71.3,200,47.815,40,50,20,,,,,,
,E_E_INF_071920_1,E_Inf_071920_1,,B01,,E_E_INF,7/19/20,43,1,8/31/20,Adrian,71.4,200,47.915,40,50,20,,,,,,
,C_C_ADA_081820_4,C_ADA_081820_4,,B14,,C_C_ADA,8/18/20,55,4,10/12/20,Adrian,71.5,200,48.015,40,50,20,1,198,4,16.6,16.6,198
,E_E_INF_070720_1,E_Inf_070720_1,,B01,,E_E_INF,7/7/20,55,1,8/31/20,Adrian,71.6,200,48.115,40,50,20,,,,,,
17-Aug,C_C_N49_081820_2,C_N49_081820_2,,B11,,C_C_N49,8/18/20,30,2,9/17/20,Adrian,71.6,200,48.115,40,50,20,,,,,,
,E_E_INF_081820_3,E_Inf_081820_3,,B03,,E_E_INF,8/18/20,15,3,9/2/20,Adrian,71.68,200,48.195,40,50,20,1,49.2,3,3.76,3.76,49.2
,E_E_INF_060420_3,E_Inf_060420_3,,B03,,E_E_INF,6/4/20,90,3,9/2/20,Adrian,71.69,200,48.205,40,50,20,,,,,,
,E_E_INF_062120_1,E_Inf_062120_1,,B01,,E_E_INF,6/21/20,71,1,8/31/20,Adrian,71.8,200,48.315,40,50,20,,,,,,
,E_E_INF_081120_3,E_Inf_081120_3,,B03,,E_E_INF,8/11/20,22,3,9/2/20,Adrian,71.82,200,48.335,40,50,20,,,,,,
,E_E_INF_072820_3,E_Inf_072820_3,,B03,,E_E_INF,7/28/20,36,3,9/2/20,Adrian,71.85,200,48.365,40,50,20,,,,,,
,E_E_INF_061420_2,E_Inf_061420_2,,B02,,E_E_INF,6/14/20,78,2,8/31/20,Adrian,71.9,200,48.415,40,50,20,,,,,,
,E_E_INF_062820_1,E_Inf_062820_1,,B01,,E_E_INF,6/28/20,64,1,8/31/20,Adrian,71.9,200,48.415,40,50,20,,,,,,
,E_E_INF_071220_3,E_Inf_071220_3,,B03,,E_E_INF,7/12/20,52,3,9/2/20,Adrian,72.04,200,48.555,40,50,20,,,,,,
,C_C_S68_060220_2,C_S68_060220_2,,B05,,C_C_S68,6/2/20,93,2,9/3/20,Adrian,72.09,200,48.605,45,50,20,,,,,,
,E_E_INF_062120_3,E_Inf_062120_3,,B03,,E_E_INF,6/21/20,73,3,9/2/20,Adrian,72.3,200,48.815,40,50,20,,,,,,
,E_E_INF_053020_1,E_Inf_053020_1,,B01,,E_E_INF,5/30/20,93,1,8/31/20,Adrian,72.4,200,48.915,40,50,20,,,,,,
,E_E_INF_053020_2,E_Inf_053020_2,,B02,,E_E_INF,5/30/20,93,2,8/31/20,Adrian,72.4,200,48.915,40,50,20,,,,,,
,E_E_INF_060720_1,E_Inf_060720_1,,B01,,E_E_INF,6/7/20,85,1,8/31/20,Adrian,72.4,200,48.915,40,50,20,,,,,,
,E_E_INF_070520_3,E_Inf_070520_3,,B03,,E_E_INF,7/5/20,59,3,9/2/20,Adrian,72.43,200,48.945,40,50,20,,,,,,
,E_E_INF_052920_3,E_Inf_052920_3,,B03,,E_E_INF,5/29/20,96,3,9/2/20,Adrian,72.51,200,49.025,40,50,20,1,21.4,3,1.73,1.73,21.4
,E_E_INF_053020_3,E_Inf_053020_3,,B03,,E_E_INF,5/30/20,95,3,9/2/20,Adrian,72.52,200,49.035,40,50,20,,,,,,
,E_E_INF_060220_1,E_Inf_060220_1,,B01,,E_E_INF,6/2/20,90,1,8/31/20,Adrian,72.7,200,49.215,40,50,20,,,,,,
,E_E_INF_060220_2,E_Inf_060220_2,,B02,,E_E_INF,6/2/20,90,2,8/31/20,Adrian,72.7,200,49.215,40,50,20,,,,,,
,E_E_INF_071920_3,E_Inf_071920_3,,B03,,E_E_INF,7/19/20,45,3,9/2/20,Adrian,72.72,200,49.235,40,50,20,1,12.3,3,0.973,0.973,12.3
,E_E_INF_052920_1,E_Inf_052920_1,,B01,,E_E_INF,5/29/20,94,1,8/31/20,Adrian,72.8,200,49.315,40,50,20,,,,,,
,E_E_INF_071220_2,E_Inf_071220_2,,B02,,E_E_INF,7/12/20,50,2,8/31/20,Adrian,72.8,200,49.315,40,50,20,,,,,,
,E_E_INF_080420_1,E_Inf_080420_1,,B01,,E_E_INF,8/4/20,27,1,8/31/20,Adrian,72.8,200,49.315,40,50,20,,,,,,
,E_E_INF_081820_1,E_Inf_081820_1,,B01,,E_E_INF,8/18/20,13,1,8/31/20,Adrian,72.8,200,49.315,40,50,20,,,,,,
,E_E_INF_053120_2,E_Inf_053120_2,,B02,,E_E_INF,5/31/20,92,2,8/31/20,Adrian,72.9,200,49.415,40,50,20,,,,,,
,E_E_INF_081820_2,E_Inf_081820_2,,B02,,E_E_INF,8/18/20,13,2,8/31/20,Adrian,72.9,200,49.415,40,50,20,,,,,,
,E_E_INF_061420_3,E_Inf_061420_3,,B03,,E_E_INF,6/14/20,80,3,9/2/20,Adrian,72.95,200,49.465,40,50,20,,,,,,
,E_E_INF_061420_1,E_Inf_061420_1,,B01,,E_E_INF,6/14/20,78,1,8/31/20,Adrian,73,200,49.515,40,50,20,,,,,,
,E_E_INF_072820_1,E_Inf_072820_1,,B01,,E_E_INF,7/28/20,34,1,8/31/20,Adrian,73,200,49.515,40,50,20,,,,,,
,E_E_INF_060720_3,E_Inf_060720_3,,B03,,E_E_INF,6/7/20,87,3,9/2/20,Adrian,73.16,200,49.675,40,50,20,,,,,,
,E_E_INF_062820_2,E_Inf_062820_2,,B02,,E_E_INF,6/28/20,64,2,8/31/20,Adrian,73.2,200,49.715,40,50,20,,,,,,
,E_E_INF_080420_2,E_Inf_080420_2,,B02,,E_E_INF,8/4/20,27,2,8/31/20,Adrian,73.2,200,49.715,40,50,20,,,,,,
,C_C_S68_072820_3,C_S68_072820_3,,B05,,C_C_S68,7/28/20,37,3,9/3/20,Adrian,73.29,200,49.805,40,50,20,,,,,,
,E_E_INF_080420_3,E_Inf_080420_3,,B03,,E_E_INF,8/4/20,29,3,9/2/20,Adrian,73.52,200,50.035,40,50,20,,,,,,
17-Aug,C_C_S68_081820_3,C_S68_081820_3,,B05,,C_C_S68,8/18/20,16,3,9/3/20,Adrian,73.53,200,50.045,40,50,20,,,,,,
,E_E_INF_070520_2,E_Inf_070520_2,,B02,,E_E_INF,7/5/20,57,2,8/31/20,Adrian,73.6,200,50.115,40,50,20,,,,,,
,C_C_S68_081120_3,C_S68_081120_3,,B05,,C_C_S68,8/11/20,23,3,9/3/20,Adrian,73.69,200,50.205,40,50,20,,,,,,
,C_C_ADA_072820_3,C_ADA_072820_3,,B14,,C_C_ADA,7/28/20,76,3,10/12/20,Adrian,73.7,200,50.215,40,50,20,1,26.6,4,3.76,3.76,26.6
,E_E_INF_053120_1,E_Inf_053120_1,,B01,,E_E_INF,5/31/20,92,1,8/31/20,Adrian,73.8,200,50.315,40,50,20,,,,,,
,E_E_INF_081120_2,E_Inf_081120_2,,B02,,E_E_INF,8/11/20,20,2,8/31/20,Adrian,73.9,200,50.415,40,50,20,,,,,,
,E_E_INF_071220_1,E_Inf_071220_1,,B01,,E_E_INF,7/12/20,50,1,8/31/20,Adrian,74,200,50.515,40,50,20,,,,,,
,E_E_INF_081120_1,E_Inf_081120_1,,B01,,E_E_INF,8/11/20,20,1,8/31/20,Adrian,74,200,50.515,40,50,20,,,,,,
,C_C_S68_080420_3,C_S68_080420_3,,B05,,C_C_S68,8/4/20,30,3,9/3/20,Adrian,74.02,200,50.535,40,50,20,,,,,,
1-Sep,C_C_S68_090120_4,C_S68_090120_4,,B18,B18,C_C_S68,9/1/20,64,4,11/4/20,Adrian,67.4,200,43.915,40,50,20,,,,,,
7-Sep,C_C_S68_090920_4,C_S68_090920_4,,B18,B18,C_C_S68,9/9/20,56,4,11/4/20,Adrian,63.6,200,40.115,40,50,20,,,,,,
14-Sep,C_C_S68_091520_4,C_S68_091520_4,,B18,B18,C_C_S68,9/15/20,50,4,11/4/20,Adrian,54.5,200,31.015,40,50,20,,,,,,
