Well,Omit,Sample,Target,Dye,Task,Cq,Quantity,plate_id,well_id,is_primary_value,is_dilution,inhibition_testing,LoD_testing,note,inhib_dCt2,,,,,,,,,,
B10,FALSE,control_PBS_B2,Xeno IPC man,VIC,Unknown,31.58094,0.00534851,80,80_B10,N,N,N,,,,,,,,,,,,,
H6,FALSE,E_Inf_062120_2,Xeno IPC man,VIC,Unknown,31.57664,0.00554788,80,80_H6,N,N,N,,,,,,,,,,,,,
B8,FALSE,E_Inf_070520_2,Xeno IPC man,VIC,Unknown,31.573244,0.00571049,80,80_B8,N,N,N,,,,,,,,,,,,,
E4,FALSE,E_Inf_060420_2,Xeno IPC man,VIC,Unknown,31.564756,0.00613818,80,80_E4,N,N,N,,,,,,,,,,,,,
A11,FALSE,E_Inf_081820_2,Xeno IPC man,VIC,Unknown,31.538439,0.00767885,80,80_A11,N,N,N,,,,,,,,,,,,,
A12,FALSE,E_Inf_081820_2,Xeno IPC man,VIC,Unknown,31.508804,0.00988122,80,80_A12,N,N,N,,,,,,,,,,,,,
G12,FALSE,J_UCV_090320_2,Xeno IPC man,VIC,Unknown,31.50485,0.01021932,80,80_G12,N,N,N,,,,,,,,,,,,,
B7,FALSE,E_Inf_070520_2,Xeno IPC man,VIC,Unknown,31.477747,0.01287012,80,80_B7,N,N,N,,,,,,,,,,,,,
B9,FALSE,E_Inf_070520_2,Xeno IPC man,VIC,Unknown,31.462208,0.01468951,80,80_B9,N,N,N,,,,,,,,,,,,,
C5,FALSE,C_ADA_090920_4,Xeno IPC man,VIC,Unknown,33.0725665,0.015454203,99,99_C5,N,N,N,,,Y,,,,,,,,,,
G4,FALSE,E_Inf_061420_2,Xeno IPC man,VIC,Unknown,31.447763,0.01661064,80,80_G4,N,N,N,,,,,,,,,,,,,
A10,FALSE,E_Inf_081820_2,Xeno IPC man,VIC,Unknown,31.406534,0.02359113,80,80_A10,N,N,N,,,,,,,,,,,,,
E9,FALSE,E_Inf_081120_2,Xeno IPC man,VIC,Unknown,31.377172,0.03028689,80,80_E9,N,N,N,,,,,,,,,,,,,
D8,FALSE,E_Inf_080420_2,Xeno IPC man,VIC,Unknown,31.373579,0.03122729,80,80_D8,N,N,N,,,,,,,,,,,,,
