Well,Omit,Sample,Target,Dye,Task,Cq,Quantity,plate_id,well_id,is_primary_value,is_dilution,inhibition_testing,LoD_testing,note,inhib_dCt2,,,,,,,,,,
D9,FALSE,E_Inf_071220_3,Xeno IPC man,VIC,Unknown,32.84034209,0.02106633,85,85_D9,Y,N,N,,,,,,,,,,,,,
E1,FALSE,100,Xeno IPC man,VIC,Standard,31.88807081,100,85,85_E1,Y,N,N,,,,,,,,,,,,,
E2,FALSE,100,Xeno IPC man,VIC,Standard,31.92037327,100,85,85_E2,Y,N,N,,,,,,,,,,,,,
E3,FALSE,100,Xeno IPC man,VIC,Standard,32.15683609,100,85,85_E3,Y,N,N,,,,,,,,,,,,,
E4,FALSE,E_Inf_060420_3,Xeno IPC man,VIC,Unknown,33.04995758,0.003790414,85,85_E4,Y,N,N,,,,,,,,,,,,,
E5,FALSE,E_Inf_060420_3,Xeno IPC man,VIC,Unknown,33.27643892,0.000594085,85,85_E5,Y,N,N,,,,,,,,,,,,,
E6,FALSE,E_Inf_060420_3,Xeno IPC man,VIC,Unknown,33.30856223,0.000456766,85,85_E6,Y,N,N,,,,,,,,,,,,,
E7,FALSE,E_Inf_071920_3,Xeno IPC man,VIC,Unknown,32.6546446,0.096270819,85,85_E7,Y,N,N,,,,,,,,,,,,,
E8,FALSE,E_Inf_071920_3,Xeno IPC man,VIC,Unknown,32.72636478,0.053533483,85,85_E8,Y,N,N,,,,,,,,,,,,,
E9,FALSE,E_Inf_071920_3,Xeno IPC man,VIC,Unknown,32.58784844,0.166289775,85,85_E9,Y,N,N,,,,,,,,,,,,,
F1,FALSE,1.00E+03,Xeno IPC man,VIC,Standard,31.78141881,1000,85,85_F1,Y,N,N,,,,,,,,,,,,,
F2,FALSE,1.00E+03,Xeno IPC man,VIC,Standard,31.92598412,1000,85,85_F2,Y,N,N,,,,,,,,,,,,,
F3,FALSE,1.00E+03,Xeno IPC man,VIC,Standard,32.10946126,1000,85,85_F3,Y,N,N,,,,,,,,,,,,,
F7,FALSE,E_Inf_072820_3,Xeno IPC man,VIC,Unknown,33.19320613,0.001173897,85,85_F7,Y,N,N,,,,,,,,,,,,,
F8,FALSE,E_Inf_072820_3,Xeno IPC man,VIC,Unknown,33.03476882,0.004292026,85,85_F8,Y,N,N,,,,,,,,,,,,,
F9,FALSE,E_Inf_072820_3,Xeno IPC man,VIC,Unknown,33.15536737,0.001599912,85,85_F9,Y,N,N,,,,,,,,,,,,,
G1,FALSE,1.00E+04,Xeno IPC man,VIC,Standard,31.13663638,10000,85,85_G1,Y,N,N,,,,,,,,,,,,,
G2,FALSE,1.00E+04,Xeno IPC man,VIC,Standard,31.43167887,10000,85,85_G2,Y,N,N,,,,,,,,,,,,,
G3,FALSE,1.00E+04,Xeno IPC man,VIC,Standard,31.4235962,10000,85,85_G3,Y,N,N,,,,,,,,,,,,,
G4,FALSE,E_Inf_061420_3,Xeno IPC man,VIC,Unknown,32.73037323,0.051806095,85,85_G4,Y,N,N,,,,,,,,,,,,,
G5,FALSE,E_Inf_061420_3,Xeno IPC man,VIC,Unknown,32.77734512,0.035274323,85,85_G5,Y,N,N,,,,,,,,,,,,,
G6,FALSE,E_Inf_061420_3,Xeno IPC man,VIC,Unknown,33.22936374,0.000873249,85,85_G6,Y,N,N,,,,,,,,,,,,,
G7,FALSE,E_Inf_080420_3,Xeno IPC man,VIC,Unknown,32.39286457,0.819920895,85,85_G7,Y,N,N,,,,,,,,,,,,,
G8,FALSE,E_Inf_080420_3,Xeno IPC man,VIC,Unknown,33.017493,0.00494373,85,85_G8,Y,N,N,,,,,,,,,,,,,
G9,FALSE,E_Inf_080420_3,Xeno IPC man,VIC,Unknown,32.43415217,0.584857203,85,85_G9,Y,N,N,,,,,,,,,,,,,
H1,FALSE,1.00E+05,Xeno IPC man,VIC,Standard,29.59161479,100000,85,85_H1,Y,N,N,,,,,,,,,,,,,
H2,FALSE,1.00E+05,Xeno IPC man,VIC,Standard,31.0721119,100000,85,85_H2,Y,N,N,,,,,,,,,,,,,
H3,FALSE,1.00E+05,Xeno IPC man,VIC,Standard,31.17550151,100000,85,85_H3,Y,N,N,,,,,,,,,,,,,
H4,FALSE,E_Inf_062120_3,Xeno IPC man,VIC,Unknown,32.86304566,0.017494765,85,85_H4,Y,N,N,,,,,,,,,,,,,
H5,FALSE,E_Inf_062120_3,Xeno IPC man,VIC,Unknown,32.82488081,0.023907437,85,85_H5,Y,N,N,,,,,,,,,,,,,
H6,FALSE,E_Inf_062120_3,Xeno IPC man,VIC,Unknown,33.01559552,0.005021087,85,85_H6,Y,N,N,,,,,,,,,,,,,
H7,FALSE,E_Inf_081120_3,Xeno IPC man,VIC,Unknown,32.95880542,0.007991171,85,85_H7,Y,N,N,,,,,,,,,,,,,
H8,FALSE,E_Inf_081120_3,Xeno IPC man,VIC,Unknown,32.97249233,0.007144499,85,85_H8,Y,N,N,,,,,,,,,,,,,
H9,FALSE,E_Inf_081120_3,Xeno IPC man,VIC,Unknown,33.09556352,0.002609868,85,85_H9,Y,N,N,,,,,,,,,,,,,
H1,FALSE,1.00E+06,N1 IVT man,FAM,Standard,17.106386,1000000,78,78_H1,N,N,N,,,,,,,,,,,,,
H1,FALSE,1.00E+06,Xeno IPC man,VIC,Standard,Undetermined,1000000,78,78_H1,N,N,N,,,,,,,,,,,,,
H2,FALSE,1.00E+06,N1 IVT man,FAM,Standard,17.198387,1000000,78,78_H2,N,N,N,,,,,,,,,,,,,
H2,FALSE,1.00E+06,Xeno IPC man,VIC,Standard,Undetermined,1000000,78,78_H2,N,N,N,,,,,,,,,,,,,
H3,FALSE,1.00E+06,N1 IVT man,FAM,Standard,17.263968,1000000,78,78_H3,N,N,N,,,,,,,,,,,,,
H3,FALSE,1.00E+06,Xeno IPC man,VIC,Standard,44.309277,1000000,78,78_H3,N,N,N,,,,,,,,,,,,,
F7,FALSE,1.00E+06,18S IVT man,FAM,Standard,20.95283,1000000,111,,N,N,N,N,,,,,,,,,,,,
F8,FALSE,1.00E+06,18S IVT man,FAM,Standard,20.8542,1000000,111,,N,N,N,N,,,,,,,,,,,,
F9,FALSE,1.00E+06,18S IVT man,FAM,Standard,20.31145,1000000,111,,N,N,N,N,,,,,,,,,,,,
F1,FALSE,1.00E+06,bact IVT man,FAM,Standard,20.01382,1000000,111,,N,N,N,N,,,,,,,,,,,,
F2,FALSE,1.00E+06,bact IVT man,FAM,Standard,20.13483,1000000,111,,N,N,N,N,,,,,,,,,,,,
F3,FALSE,1.00E+06,bact IVT man,FAM,Standard,20.09541,1000000,111,,N,N,N,N,,,,,,,,,,,,
A1,FALSE,NTC,Xeno IPC man,VIC,Negative Control,31.72590429,,86,86_A1,Y,N,N,,,,,,,,,,,,,
A10,FALSE,E_Inf_081820_2,Xeno IPC man,VIC,Unknown,32.51533312,0.229421355,86,86_A10,Y,N,N,,,,,,,,,,,,,
A11,FALSE,E_Inf_081820_2,Xeno IPC man,VIC,Unknown,32.35159526,0.603967329,86,86_A11,Y,N,N,,,,,,,,,,,,,
A12,FALSE,E_Inf_081820_2,Xeno IPC man,VIC,Unknown,32.46580229,0.307467344,86,86_A12,Y,N,N,,,,,,,,,,,,,
A2,FALSE,NTC,Xeno IPC man,VIC,Negative Control,31.44390098,,86,86_A2,Y,N,N,,,,,,,,,,,,,
A3,FALSE,NTC,Xeno IPC man,VIC,Negative Control,31.54855507,,86,86_A3,Y,N,N,,,,,,,,,,,,,
A7,FALSE,E_Inf_062820_2,Xeno IPC man,VIC,Unknown,32.51143891,0.234764164,86,86_A7,Y,N,N,,,,,,,,,,,,,
A8,FALSE,E_Inf_062820_2,Xeno IPC man,VIC,Unknown,32.4541695,0.329355524,86,86_A8,Y,N,N,,,,,,,,,,,,,
A9,FALSE,E_Inf_062820_2,Xeno IPC man,VIC,Unknown,32.32462315,0.708372179,86,86_A9,Y,N,N,,,,,,,,,,,,,
B1,FALSE,5,Xeno IPC man,VIC,Standard,31.83674843,5,86,86_B1,Y,N,N,,,,,,,,,,,,,
B10,FALSE,control_PBS_B2,Xeno IPC man,VIC,Unknown,31.96787996,5.83662577,86,86_B10,Y,N,N,,,,,,,,,,,,,
B11,FALSE,control_PBS_B2,Xeno IPC man,VIC,Unknown,31.57451604,59.71480822,86,86_B11,Y,N,N,,,,,,,,,,,,,
B12,FALSE,control_PBS_B2,Xeno IPC man,VIC,Unknown,31.90028934,8.703493554,86,86_B12,Y,N,N,,,,,,,,,,,,,
B2,FALSE,5,Xeno IPC man,VIC,Standard,31.72014946,5,86,86_B2,Y,N,N,,,,,,,,,,,,,
B3,FALSE,5,Xeno IPC man,VIC,Standard,31.44448705,5,86,86_B3,Y,N,N,,,,,,,,,,,,,
B4,FALSE,E_Inf_053020_2,Xeno IPC man,VIC,Unknown,32.68126765,0.086022984,86,86_B4,Y,N,N,,,,,,,,,,,,,
B5,FALSE,E_Inf_053020_2,Xeno IPC man,VIC,Unknown,32.90692841,0.022659713,86,86_B5,Y,N,N,,,,,,,,,,,,,
B6,FALSE,E_Inf_053020_2,Xeno IPC man,VIC,Unknown,33.3105168,0.002084894,86,86_B6,Y,N,N,,,,,,,,,,,,,
B7,FALSE,E_Inf_070520_2,Xeno IPC man,VIC,Unknown,32.68177179,0.085766994,86,86_B7,Y,N,N,,,,,,,,,,,,,
B8,FALSE,E_Inf_070520_2,Xeno IPC man,VIC,Unknown,33.10279188,0.007118618,86,86_B8,Y,N,N,,,,,,,,,,,,,
B9,FALSE,E_Inf_070520_2,Xeno IPC man,VIC,Unknown,32.75635317,0.055187459,86,86_B9,Y,N,N,,,,,,,,,,,,,
C1,FALSE,10,Xeno IPC man,VIC,Standard,31.35940297,10,86,86_C1,Y,N,N,,,,,,,,,,,,,
C2,FALSE,10,Xeno IPC man,VIC,Standard,31.82073246,10,86,86_C2,Y,N,N,,,,,,,,,,,,,
C3,FALSE,10,Xeno IPC man,VIC,Standard,31.7990889,10,86,86_C3,Y,N,N,,,,,,,,,,,,,
C4,FALSE,E_Inf_053120_2,Xeno IPC man,VIC,Unknown,32.88209483,0.02624291,86,86_C4,Y,N,N,,,,,,,,,,,,,
C5,FALSE,E_Inf_053120_2,Xeno IPC man,VIC,Unknown,33.33392968,0.001815406,86,86_C5,Y,N,N,,,,,,,,,,,,,
C6,FALSE,E_Inf_053120_2,Xeno IPC man,VIC,Unknown,33.57094297,0.000447165,86,86_C6,Y,N,N,,,,,,,,,,,,,
D1,FALSE,20,Xeno IPC man,VIC,Standard,32.01494114,20,86,86_D1,Y,N,N,,,,,,,,,,,,,
D2,FALSE,20,Xeno IPC man,VIC,Standard,31.49252194,20,86,86_D2,Y,N,N,,,,,,,,,,,,,
D3,FALSE,20,Xeno IPC man,VIC,Standard,31.67387342,20,86,86_D3,Y,N,N,,,,,,,,,,,,,
D4,FALSE,E_Inf_060220_2,Xeno IPC man,VIC,Unknown,33.20517025,0.003886423,86,86_D4,Y,N,N,,,,,,,,,,,,,
D5,FALSE,E_Inf_060220_2,Xeno IPC man,VIC,Unknown,33.03419114,0.01067876,86,86_D5,Y,N,N,,,,,,,,,,,,,
D6,FALSE,E_Inf_060220_2,Xeno IPC man,VIC,Unknown,33.53852641,0.000541618,86,86_D6,Y,N,N,,,,,,,,,,,,,
D7,FALSE,E_Inf_071220_2,Xeno IPC man,VIC,Unknown,33.23747707,0.003210744,86,86_D7,Y,N,N,,,,,,,,,,,,,
D8,FALSE,E_Inf_071220_2,Xeno IPC man,VIC,Unknown,33.36501366,0.001510668,86,86_D8,Y,N,N,,,,,,,,,,,,,
D9,FALSE,E_Inf_071220_2,Xeno IPC man,VIC,Unknown,33.17962066,0.004520078,86,86_D9,Y,N,N,,,,,,,,,,,,,
E1,FALSE,100,Xeno IPC man,VIC,Standard,32.12079438,100,86,86_E1,Y,N,N,,,,,,,,,,,,,
E2,FALSE,100,Xeno IPC man,VIC,Standard,31.85246084,100,86,86_E2,Y,N,N,,,,,,,,,,,,,
E3,FALSE,100,Xeno IPC man,VIC,Standard,31.71464684,100,86,86_E3,Y,N,N,,,,,,,,,,,,,
E4,FALSE,E_Inf_060420_2,Xeno IPC man,VIC,Unknown,32.74721658,0.058250225,86,86_E4,Y,N,N,,,,,,,,,,,,,
E5,FALSE,E_Inf_060420_2,Xeno IPC man,VIC,Unknown,33.07932911,0.008177751,86,86_E5,Y,N,N,,,,,,,,,,,,,
E6,FALSE,E_Inf_060420_2,Xeno IPC man,VIC,Unknown,33.30029719,0.002214735,86,86_E6,Y,N,N,,,,,,,,,,,,,
F1,FALSE,1.00E+03,Xeno IPC man,VIC,Standard,31.62374788,1000,86,86_F1,Y,N,N,,,,,,,,,,,,,
F2,FALSE,1.00E+03,Xeno IPC man,VIC,Standard,31.46714938,1000,86,86_F2,Y,N,N,,,,,,,,,,,,,
F3,FALSE,1.00E+03,Xeno IPC man,VIC,Standard,31.66882649,1000,86,86_F3,Y,N,N,,,,,,,,,,,,,
F4,FALSE,E_Inf_060720_2,Xeno IPC man,VIC,Unknown,33.5646097,0.000464224,86,86_F4,Y,N,N,,,,,,,,,,,,,
F5,FALSE,E_Inf_060720_2,Xeno IPC man,VIC,Unknown,33.65781734,0.000267563,86,86_F5,Y,N,N,,,,,,,,,,,,,
F6,FALSE,E_Inf_060720_2,Xeno IPC man,VIC,Unknown,33.44775982,0.000926247,86,86_F6,Y,N,N,,,,,,,,,,,,,
G1,FALSE,1.00E+04,Xeno IPC man,VIC,Standard,30.37262319,10000,86,86_G1,Y,N,N,,,,,,,,,,,,,
G2,FALSE,1.00E+04,Xeno IPC man,VIC,Standard,31.00189742,10000,86,86_G2,Y,N,N,,,,,,,,,,,,,
G3,FALSE,1.00E+04,Xeno IPC man,VIC,Standard,31.31982262,10000,86,86_G3,Y,N,N,,,,,,,,,,,,,
G4,FALSE,E_Inf_061420_2,Xeno IPC man,VIC,Unknown,33.0649951,0.00890092,86,86_G4,Y,N,N,,,,,,,,,,,,,
G5,FALSE,E_Inf_061420_2,Xeno IPC man,VIC,Unknown,32.85601221,0.030617968,86,86_G5,Y,N,N,,,,,,,,,,,,,
G6,FALSE,E_Inf_061420_2,Xeno IPC man,VIC,Unknown,33.37297774,0.001441193,86,86_G6,Y,N,N,,,,,,,,,,,,,
G7,FALSE,E_Inf_080420_2,Xeno IPC man,VIC,Unknown,33.11152255,0.006760528,86,86_G7,Y,N,N,,,,,,,,,,,,,
G8,FALSE,E_Inf_080420_2,Xeno IPC man,VIC,Unknown,33.41606657,0.00111711,86,86_G8,Y,N,N,,,,,,,,,,,,,
G9,FALSE,E_Inf_080420_2,Xeno IPC man,VIC,Unknown,33.1782378,0.004557181,86,86_G9,Y,N,N,,,,,,,,,,,,,
H1,FALSE,1.00E+05,Xeno IPC man,VIC,Standard,28.58121754,100000,86,86_H1,Y,N,N,,,,,,,,,,,,,
H2,FALSE,1.00E+05,Xeno IPC man,VIC,Standard,30.27519381,100000,86,86_H2,Y,N,N,,,,,,,,,,,,,
H3,FALSE,1.00E+05,Xeno IPC man,VIC,Standard,30.56576283,100000,86,86_H3,Y,N,N,,,,,,,,,,,,,
H4,FALSE,E_Inf_062120_2,Xeno IPC man,VIC,Unknown,32.61068943,0.130561944,86,86_H4,Y,N,N,,,,,,,,,,,,,
H5,FALSE,E_Inf_062120_2,Xeno IPC man,VIC,Unknown,32.50079557,0.250010045,86,86_H5,Y,N,N,,,,,,,,,,,,,
H6,FALSE,E_Inf_062120_2,Xeno IPC man,VIC,Unknown,32.59916729,0.139765019,86,86_H6,Y,N,N,,,,,,,,,,,,,
H7,FALSE,E_Inf_081120_2,Xeno IPC man,VIC,Unknown,32.79156854,0.044815542,86,86_H7,Y,N,N,,,,,,,,,,,,,
H8,FALSE,E_Inf_081120_2,Xeno IPC man,VIC,Unknown,32.86095707,0.029735891,86,86_H8,Y,N,N,,,,,,,,,,,,,
H9,FALSE,E_Inf_081120_2,Xeno IPC man,VIC,Unknown,32.90531275,0.022877178,86,86_H9,Y,N,N,,,,,,,,,,,,,
B10,FALSE,C_N49_080420_3,crAss DNA man,FAM,Unknown,22.12919407,1598027.406,119,119_B10,N,N,N,N,,,,,,,,,,,,
B12,FALSE,C_N49_080420_3,crAss DNA man,FAM,Unknown,22.04878724,1683292.669,119,119_B12,N,N,N,N,,,,,,,,,,,,
B11,FALSE,C_N49_080420_3,crAss DNA man,FAM,Unknown,22.04120908,1691559.631,119,119_B11,N,N,N,N,,,,,,,,,,,,
E2,FALSE,100,N1 Twist man,FAM,Standard,32.0854094,100,88,88_E2,Y,N,N,,,,,,,,,,,,,
E3,FALSE,100,N1 Twist man,FAM,Standard,32.3843628,100,88,88_E3,Y,N,N,,,,,,,,,,,,,
E1,FALSE,100,Xeno IPC man,VIC,Standard,31.9622138,100,87,87_E1,Y,N,N,,,,,,,,,,,,,
E2,FALSE,100,Xeno IPC man,VIC,Standard,32.6857277,100,87,87_E2,Y,N,N,,,,,,,,,,,,,
E3,FALSE,100,Xeno IPC man,VIC,Standard,32.3131051,100,87,87_E3,Y,N,N,,,,,,,,,,,,,
E1,FALSE,100,Xeno IPC man,VIC,Standard,31.8514866,100,88,88_E1,Y,N,N,,,,,,,,,,,,,
E2,FALSE,100,Xeno IPC man,VIC,Standard,32.4224004,100,88,88_E2,Y,N,N,,,,,,,,,,,,,
E3,FALSE,100,Xeno IPC man,VIC,Standard,32.4459248,100,88,88_E3,Y,N,N,,,,,,,,,,,,,
F1,FALSE,1.00E+03,N1 Twist man,FAM,Standard,29.02879,1000,87,87_F1,Y,N,N,,,,,,,,,,,,,
F2,FALSE,1.00E+03,N1 Twist man,FAM,Standard,28.6584708,1000,87,87_F2,Y,N,N,,,,,,,,,,,,,
F3,FALSE,1.00E+03,N1 Twist man,FAM,Standard,28.6420792,1000,87,87_F3,Y,N,N,,,,,,,,,,,,,
F1,FALSE,1.00E+03,N1 Twist man,FAM,Standard,29.2208958,1000,88,88_F1,Y,N,N,,,,,,,,,,,,,
F2,FALSE,1.00E+03,N1 Twist man,FAM,Standard,29.2516951,1000,88,88_F2,Y,N,N,,,,,,,,,,,,,
F3,FALSE,1.00E+03,N1 Twist man,FAM,Standard,29.3088051,1000,88,88_F3,Y,N,N,,,,,,,,,,,,,
F1,FALSE,1.00E+03,Xeno IPC man,VIC,Standard,32.207513,1000,87,87_F1,Y,N,N,,,,,,,,,,,,,
F2,FALSE,1.00E+03,Xeno IPC man,VIC,Standard,31.982354,1000,87,87_F2,Y,N,N,,,,,,,,,,,,,
F3,FALSE,1.00E+03,Xeno IPC man,VIC,Standard,31.9805698,1000,87,87_F3,Y,N,N,,,,,,,,,,,,,
F1,FALSE,1.00E+03,Xeno IPC man,VIC,Standard,31.7609492,1000,88,88_F1,Y,N,N,,,,,,,,,,,,,
F2,FALSE,1.00E+03,Xeno IPC man,VIC,Standard,31.9192471,1000,88,88_F2,Y,N,N,,,,,,,,,,,,,
F3,FALSE,1.00E+03,Xeno IPC man,VIC,Standard,32.1123062,1000,88,88_F3,Y,N,N,,,,,,,,,,,,,
G1,FALSE,1.00E+04,N1 Twist man,FAM,Standard,24.780423,10000,87,87_G1,Y,N,N,,,,,,,,,,,,,
G2,FALSE,1.00E+04,N1 Twist man,FAM,Standard,25.1753667,10000,87,87_G2,Y,N,N,,,,,,,,,,,,,
G3,FALSE,1.00E+04,N1 Twist man,FAM,Standard,24.8408576,10000,87,87_G3,Y,N,N,,,,,,,,,,,,,
G1,FALSE,1.00E+04,N1 Twist man,FAM,Standard,25.7350018,10000,88,88_G1,Y,N,N,,,,,,,,,,,,,
G2,FALSE,1.00E+04,N1 Twist man,FAM,Standard,25.6486397,10000,88,88_G2,Y,N,N,,,,,,,,,,,,,
G3,FALSE,1.00E+04,N1 Twist man,FAM,Standard,25.7778824,10000,88,88_G3,Y,N,N,,,,,,,,,,,,,
G1,FALSE,1.00E+04,Xeno IPC man,VIC,Standard,31.681112,10000,87,87_G1,Y,N,N,,,,,,,,,,,,,
G2,FALSE,1.00E+04,Xeno IPC man,VIC,Standard,32.5284471,10000,87,87_G2,Y,N,N,,,,,,,,,,,,,
G3,FALSE,1.00E+04,Xeno IPC man,VIC,Standard,32.3837931,10000,87,87_G3,Y,N,N,,,,,,,,,,,,,
G1,FALSE,1.00E+04,Xeno IPC man,VIC,Standard,31.2848458,10000,88,88_G1,Y,N,N,,,,,,,,,,,,,
G2,FALSE,1.00E+04,Xeno IPC man,VIC,Standard,31.6092927,10000,88,88_G2,Y,N,N,,,,,,,,,,,,,
G3,FALSE,1.00E+04,Xeno IPC man,VIC,Standard,31.7253432,10000,88,88_G3,Y,N,N,,,,,,,,,,,,,
H1,FALSE,1.00E+05,N1 Twist man,FAM,Standard,21.3921318,100000,87,87_H1,Y,N,N,,,,,,,,,,,,,
H2,FALSE,1.00E+05,N1 Twist man,FAM,Standard,21.5121059,100000,87,87_H2,Y,N,N,,,,,,,,,,,,,
H3,FALSE,1.00E+05,N1 Twist man,FAM,Standard,21.4384077,100000,87,87_H3,Y,N,N,,,,,,,,,,,,,
H1,FALSE,1.00E+05,N1 Twist man,FAM,Standard,21.9564337,100000,88,88_H1,Y,N,N,,,,,,,,,,,,,
H2,FALSE,1.00E+05,N1 Twist man,FAM,Standard,22.0165426,100000,88,88_H2,Y,N,N,,,,,,,,,,,,,
H3,FALSE,1.00E+05,N1 Twist man,FAM,Standard,22.0871221,100000,88,88_H3,Y,N,N,,,,,,,,,,,,,
H1,FALSE,1.00E+05,Xeno IPC man,VIC,Standard,31.3087787,100000,87,87_H1,Y,N,N,,,,,,,,,,,,,
B6,FALSE,K_K_INF_071020_2,bact IVT man,FAM,Unknown,18.95401,2147307,111,,N,N,N,N,,,,,,,,,,,,
H2,FALSE,1.00E+05,Xeno IPC man,VIC,Standard,32.8271984,100000,87,87_H2,Y,N,N,,,,,,,,,,,,,
H3,FALSE,1.00E+05,Xeno IPC man,VIC,Standard,32.4001846,100000,87,87_H3,Y,N,N,,,,,,,,,,,,,
H1,FALSE,1.00E+05,Xeno IPC man,VIC,Standard,30.2446891,100000,88,88_H1,Y,N,N,,,,,,,,,,,,,
H2,FALSE,1.00E+05,Xeno IPC man,VIC,Standard,32.3052835,100000,88,88_H2,Y,N,N,,,,,,,,,,,,,
H3,FALSE,1.00E+05,Xeno IPC man,VIC,Standard,33.2679389,100000,88,88_H3,Y,N,N,,,,,,,,,,,,,
G5,FALSE,C_ADA_061620_3,Xeno IPC man,VIC,Unknown,34.8544479,1.22E-26,88,88_G5,Y,N,N,,,,,,,,,,,,,
F5,FALSE,C_ADA_060920_4,Xeno IPC man,VIC,Unknown,34.0923028,4.93E-19,88,88_F5,Y,N,N,,,,,,,,,,,,,
D6,FALSE,C_ADA_060220_4,Xeno IPC man,VIC,Unknown,33.5825297,6.03E-14,88,88_D6,Y,N,N,,,,,,,,,,,,,
E6,FALSE,C_ADA_060920_3,Xeno IPC man,VIC,Unknown,33.2695804,8.01E-11,88,88_E6,Y,N,N,,,,,,,,,,,,,
F9,FALSE,C_ADA_080420_4,Xeno IPC man,VIC,Unknown,33.2111275,3.07E-10,88,88_F9,Y,N,N,,,,,,,,,,,,,
E7,FALSE,C_ADA_072820_3,Xeno IPC man,VIC,Unknown,33.2015593,3.82E-10,88,88_E7,N,N,N,,,,,,,,,,,,,
D4,FALSE,C_ADA_060220_4,Xeno IPC man,VIC,Unknown,33.1988719,4.07E-10,88,88_D4,Y,N,N,,,,,,,,,,,,,
F8,FALSE,C_ADA_080420_4,Xeno IPC man,VIC,Unknown,33.152613,1.18E-09,88,88_F8,Y,N,N,,,,,,,,,,,,,
E8,FALSE,C_ADA_072820_3,Xeno IPC man,VIC,Unknown,33.1488341,1.28E-09,88,88_E8,N,N,N,,,,,,,,,,,,,
C6,FALSE,C_ADA_060220_3,Xeno IPC man,VIC,Unknown,33.1101411,3.12E-09,88,88_C6,Y,N,N,,,,,,,,,,,,,
F6,FALSE,C_S68_060220_1,Xeno IPC man,VIC,Unknown,35.2900723,2479197.87,92,92_F6,N,N,N,,,,,,,,,,,,,
B4,FALSE,K_K_INF_071020_2,bact IVT man,FAM,Unknown,18.71618,2526964,111,,N,N,N,N,,,,,,,,,,,,
F7,FALSE,C_ADA_080420_4,Xeno IPC man,VIC,Unknown,33.0840734,5.69E-09,88,88_F7,Y,N,N,,,,,,,,,,,,,
A5,FALSE,C_ADA_052820_3,Xeno IPC man,VIC,Unknown,33.028155,2.06E-08,88,88_A5,Y,N,N,,,,,,,,,,,,,
C4,FALSE,C_ADA_060220_3,Xeno IPC man,VIC,Unknown,33.0043394,3.55E-08,88,88_C4,Y,N,N,,,,,,,,,,,,,
B5,FALSE,K_K_INF_071020_2,bact IVT man,FAM,Unknown,18.70342,2549132,111,,N,N,N,N,,,,,,,,,,,,
H6,FALSE,C_ADA_061620_4,Xeno IPC man,VIC,Unknown,32.998514,4.06E-08,88,88_H6,Y,N,N,,,,,,,,,,,,,
F4,FALSE,C_ADA_060920_4,Xeno IPC man,VIC,Unknown,32.9498851,1.24E-07,88,88_F4,Y,N,N,,,,,,,,,,,,,
G7,FALSE,C_ADA_081120_4,Xeno IPC man,VIC,Unknown,32.9399156,1.56E-07,88,88_G7,Y,N,N,,,,,,,,,,,,,
F6,FALSE,C_ADA_060920_4,Xeno IPC man,VIC,Unknown,32.9365985,1.68E-07,88,88_F6,Y,N,N,,,,,,,,,,,,,
B6,FALSE,C_ADA_052820_4,Xeno IPC man,VIC,Unknown,32.9308537,1.92E-07,88,88_B6,Y,N,N,,,,,,,,,,,,,
A11,FALSE,C_ADA_090120_4,Xeno IPC man,VIC,Unknown,32.9260401,2.15E-07,88,88_A11,Y,N,N,,,,,,,,,,,,,
A12,FALSE,C_ADA_090120_4,Xeno IPC man,VIC,Unknown,32.8831415,5.76E-07,88,88_A12,Y,N,N,,,,,,,,,,,,,
A10,FALSE,C_ADA_090120_4,Xeno IPC man,VIC,Unknown,32.8530366,1.15E-06,88,88_A10,Y,N,N,,,,,,,,,,,,,
H5,FALSE,C_ADA_061620_4,Xeno IPC man,VIC,Unknown,32.8491225,1.26E-06,88,88_H5,Y,N,N,,,,,,,,,,,,,
A6,FALSE,C_ADA_052820_3,Xeno IPC man,VIC,Unknown,32.834882,1.74E-06,88,88_A6,Y,N,N,,,,,,,,,,,,,
H8,FALSE,C_ADA_081820_4,Xeno IPC man,VIC,Unknown,32.8210574,2.40E-06,88,88_H8,Y,N,N,,,,,,,,,,,,,
E5,FALSE,C_ADA_060920_3,Xeno IPC man,VIC,Unknown,32.8162956,2.67E-06,88,88_E5,Y,N,N,,,,,,,,,,,,,
D7,FALSE,C_ADA_070720_4,Xeno IPC man,VIC,Unknown,32.8121387,2.94E-06,88,88_D7,Y,N,N,,,,,,,,,,,,,
G8,FALSE,C_ADA_081120_4,Xeno IPC man,VIC,Unknown,32.8114424,2.99E-06,88,88_G8,Y,N,N,,,,,,,,,,,,,
H9,FALSE,C_ADA_081820_4,Xeno IPC man,VIC,Unknown,32.7955423,4.31E-06,88,88_H9,Y,N,N,,,,,,,,,,,,,
D8,FALSE,C_ADA_070720_4,Xeno IPC man,VIC,Unknown,32.7777607,6.48E-06,88,88_D8,Y,N,N,,,,,,,,,,,,,
A5,FALSE,B_Inf_070120_4,N1 Twist man,FAM,Unknown,31.0727901,197.579962,95,95_A5,Y,N,N,,,,,,,,,,,,,
D9,FALSE,C_ADA_070720_4,Xeno IPC man,VIC,Unknown,32.7773026,6.55E-06,88,88_D9,Y,N,N,,,,,,,,,,,,,
A6,FALSE,B_Inf_070120_4,N1 Twist man,FAM,Unknown,31.0631111,198.873432,95,95_A6,Y,N,N,,,,,,,,,,,,,
